"kind","id","name","type","folder","purpose","refsVariables","refsTriggers","refsTemplates","usedByTags","usedByTriggers","usedByVariables"
"tag","8","Conversion Linker","gclidw","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","0","0","0","0","0","0"
"tag","44","Google Ads Remarketing - Add to Cart","sp","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","6","1","0","0","0","0"
"tag","49","Google Ads Remarketing - Cart Page","sp","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","58","Google Ads Remarketing - Search Results","sp","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","5","1","0","0","0","0"
"tag","68","Google Ads Remarketing - View Item List","sp","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","5","1","0","0","0","0"
"tag","71","Google Ads Remarketing - View Item","sp","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","6","1","0","0","0","0"
"tag","78","Google Ads Conversion - Purchase","awct","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","9","1","0","0","0","0"
"tag","80","Google Ads Remarketing - Purchase","sp","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","7","1","0","0","0","0"
"tag","81","Google Ads Remarketing - Pageview","sp","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","3","1","0","0","0","0"
"tag","88","Pinterest - Account Sign Up","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","3","1","0","0","0","0"
"tag","98","Elevar Monitoring Core Tag","cvt_PJNCJ","Elevar - Monitoring","Dispatches marketing event or config tag.","0","1","1","0","0","0"
"tag","103","Pinterest - Search","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","5","1","0","0","0","0"
"tag","105","Pinterest - View Category","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","5","1","0","0","0","0"
"tag","107","Pinterest - Transaction","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","7","1","0","0","0","0"
"tag","111","Pinterest - Lead","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","3","1","0","0","0","0"
"tag","121","Elevar Monitoring Tag Info","cvt_9938197_110","Elevar - Monitoring","Dispatches marketing event or config tag.","0","1","1","0","0","0"
"tag","124","Pinterest - Pageview","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","3","2","0","0","0","0"
"tag","127","Pinterest - Product Detail View","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","5","1","0","0","0","0"
"tag","128","Pinterest - Add to Cart","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","7","1","0","0","0","0"
"tag","131","Pinterest - Base Tag","pntr","Elevar / Pinterest","Dispatches marketing event or config tag.","2","0","0","0","0","0"
"tag","179","Facebook - Sitewide Pixel","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","3","2","0","0","0","0"
"tag","180","Facebook - SMS Signup","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","2","1","0","0","0","0"
