"id","name","folder","externalTagRefs","externalTriggerRefs","externalVariableRefs","externalTotal"
"215","GA4 ID","Elevar 2.0 - GA4","39","0","0","39"
"28","dlv - Global - Currency Code","Elevar 2.0 - Global","30","0","0","30"
"83","dlv - event_id","Elevar 2.0 - Global","26","0","1","27"
"40","dlv - Customer ID","Elevar 2.0 - Cart and Checkout","15","0","0","15"
"84","dlv - Customer Email","Elevar 2.0 - Global","10","1","2","13"
"54","dlv - Thank You Page - ecommerce.purchase.products","Elevar 2.0 - Cart and Checkout","0","0","13","13"
"177","Facebook - Pixel ID","Elevar 2.0 - FB","12","0","0","12"
"183","Facebook - product identifier","Elevar 2.0 - Product Identifier","2","0","9","11"
"270","GA4 - product identifier","Elevar 2.0 - Product Identifier","0","0","9","9"
"69","dlv - Thank You Page - Order ID","Elevar 2.0 - Cart and Checkout","8","0","1","9"
"86","Pinterest ID","Elevar / Pinterest","9","0","0","9"
"48","dlv - Cart Total","Elevar 2.0 - Cart and Checkout","9","0","0","9"
"192","Facebook - product group","Elevar 2.0 - Product Identifier","8","0","0","8"
"104","DOM - Page Title","Elevar 2.0 - Global","8","0","0","8"
"91","dlv - ecommerce.checkout.products","Elevar 2.0 - Cart and Checkout","0","0","7","7"
"56","url - Search - Search Term","Elevar 2.0 - Collection and Search Page","7","0","0","7"
"46","dlv - ecommerce.impressions","Elevar 2.0 - Collection and Search Page","0","0","7","7"
"43","dlv - Add to Cart - Price","Elevar 2.0 - Product Page","4","0","2","6"
"72","dlv - Thank You Page - Customer Phone Number","Elevar 2.0 - Cart and Checkout","3","1","2","6"
"41","dlv - Global - Visitor Type","Elevar 2.0 - Global","5","0","1","6"
"37","dlv - Add to Cart - Add Array","Elevar 2.0 - Product Page","2","0","4","6"
"31","dlv - Product View - Details Array","Elevar 2.0 - Product Page","2","0","4","6"
"117","dlv - Add to Cart - Category","Elevar 2.0 - Product Page","3","0","2","5"
"22","dlv - Thank You Page - Order Revenue","Elevar 2.0 - Cart and Checkout","4","0","1","5"
"125","dlv - Thank You Page - Customer ID","Elevar 2.0 - Cart and Checkout","4","0","1","5"
"152","dlv - Thank You Page - Action Field","Elevar 2.0 - Cart and Checkout","4","0","1","5"
"70","dlv - Product View - Price","Elevar 2.0 - Product Page","4","0","0","4"
"50","dlv - Thank You Page - Customer Email","Elevar 2.0 - Cart and Checkout","3","0","1","4"
"129","dlv - Product View - Name","Elevar 2.0 - Product Page","3","0","1","4"
"116","dlv - Add to Cart - Quantity","Elevar 2.0 - Product Page","2","0","2","4"
